carat,cut,color,clarity,depth,table,price,x,y,z,price_capped,price_per_carat
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,2770.0,3794.5205479452056
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,2770.0,3794.5205479452056
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,2770.0,3794.5205479452056
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,2770.0,3794.5205479452056
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,2771.0,3848.6111111111113
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,2771.0,3795.8904109589043
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,2771.0,3902.816901408451
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,2771.0,3507.5949367088606
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,2772.0,3797.260273972603
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,2772.0,3465.0
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,2772.0,4779.310344827587
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,2772.0,4779.310344827587
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,2772.0,3904.2253521126763
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,2773.0,3697.3333333333335
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,2773.0,3961.4285714285716
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,2774.0,2370.940170940171
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,2774.0,4623.333333333334
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,2774.0,3962.857142857143
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,2774.0,3342.1686746987953
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,2775.0,3750.0
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,2776.0,3855.5555555555557
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,2776.0,3909.8591549295775
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,2776.0,3909.8591549295775
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,2776.0,5140.74074074074
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,2776.0,5140.74074074074
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,2776.0,3855.5555555555557
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,2776.0,3855.5555555555557
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,2776.0,3855.5555555555557
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,2776.0,3909.8591549295775
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,2777.0,3967.1428571428573
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,2777.0,3911.267605633803
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,2777.0,3911.267605633803
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,2777.0,3911.267605633803
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,2777.0,3911.267605633803
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,2777.0,3967.1428571428573
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,2777.0,3967.1428571428573
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,2777.0,3967.1428571428573
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,2777.0,3967.1428571428573
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,2777.0,3967.1428571428573
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,2777.0,3967.1428571428573
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,2777.0,3967.1428571428573
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,2777.0,3967.1428571428573
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,2777.0,3856.944444444445
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,2777.0,3967.1428571428573
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,2777.0,3967.1428571428573
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,2777.0,3967.1428571428573
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,2777.0,3967.1428571428573
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,2777.0,2833.673469387755
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,2777.0,3560.25641025641
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,2777.0,3967.1428571428573
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,2778.0,5342.307692307692
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,2779.0,3806.849315068493
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,2779.0,3755.4054054054054
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,2780.0,3971.4285714285716
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,2780.0,3610.3896103896104
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,2780.0,3915.492957746479
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,2780.0,3756.7567567567567
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,2780.0,3971.4285714285716
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,2781.0,2753.4653465346532
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,2781.0,3611.6883116883114
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,2781.0,3565.3846153846152
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,2782.0,3863.888888888889
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,2782.0,5249.056603773584
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,2782.0,3660.5263157894738
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,2782.0,3974.2857142857147
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,2782.0,3974.2857142857147
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,2782.0,3709.3333333333335
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,2782.0,3863.888888888889
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,2782.0,3863.888888888889
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,2782.0,3974.2857142857147
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,2782.0,3311.904761904762
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,2782.0,3709.3333333333335
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,2783.0,5351.923076923077
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,2784.0,3866.666666666667
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,2784.0,3524.0506329113923
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,2787.0,3870.8333333333335
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,2787.0,5464.705882352941
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,2787.0,4354.6875
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,2788.0,3982.857142857143
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,2788.0,3359.0361445783133
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,2788.0,3668.4210526315787
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,2788.0,3926.760563380282
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,2788.0,3620.779220779221
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,2788.0,3926.760563380282
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,2788.0,2760.39603960396
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,2788.0,2760.39603960396
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,2789.0,3622.077922077922
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,2789.0,3669.736842105263
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,2789.0,3669.736842105263
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,2789.0,3669.736842105263
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,2789.0,2656.190476190476
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,2789.0,3443.2098765432097
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,2789.0,3984.2857142857147
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,2789.0,5070.90909090909
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,2789.0,3443.2098765432097
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,2789.0,4426.984126984127
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,2789.0,4426.984126984127
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,2789.0,3622.077922077922
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,2789.0,2656.190476190476
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,2790.0,4359.375
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,2790.0,3671.0526315789475
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,2790.0,3361.4457831325303
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,2790.0,3929.5774647887324
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,2790.0,3929.5774647887324
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,2791.0,3208.0459770114944
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,2791.0,3823.2876712328766
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,2792.0,3932.3943661971834
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,2792.0,3932.3943661971834
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,2792.0,3932.3943661971834
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,2792.0,3988.571428571429
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,2792.0,3988.571428571429
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,2792.0,3673.684210526316
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,2792.0,3988.571428571429
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,2793.0,3535.443037974683
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,2793.0,3990.0000000000005
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,2793.0,3990.0000000000005
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,2793.0,3675.0
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,2793.0,3826.027397260274
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,2794.0,3536.7088607594933
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,2795.0,3936.6197183098593
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,2795.0,3450.617283950617
