total_bill,tip,sex,smoker,day,time,size,tip_pct,tip_capped,bill_per_person
8.52,1.48,Male,No,Thur,Lunch,2,0.17370892018779344,1.48,4.26
14.52,2.0,Female,No,Thur,Lunch,2,0.13774104683195593,2.0,7.26
11.38,2.0,Female,No,Thur,Lunch,2,0.17574692442882248,2.0,5.69
22.82,2.18,Male,No,Thur,Lunch,3,0.09553023663453111,2.18,7.6066666666666665
19.08,1.5,Male,No,Thur,Lunch,2,0.07861635220125787,1.5,9.54
20.27,2.83,Female,No,Thur,Lunch,2,0.13961519486926494,2.83,10.135
11.17,1.5,Female,No,Thur,Lunch,2,0.13428827215756492,1.5,5.585
12.26,2.0,Female,No,Thur,Lunch,2,0.1631321370309951,2.0,6.13
18.26,3.25,Female,No,Thur,Lunch,2,0.17798466593647316,3.25,9.13
8.51,1.25,Female,No,Thur,Lunch,2,0.14688601645123384,1.25,4.255
10.33,2.0,Female,No,Thur,Lunch,2,0.1936108422071636,2.0,5.165
14.15,2.0,Female,No,Thur,Lunch,2,0.1413427561837456,2.0,7.075
16.0,2.0,Male,Yes,Thur,Lunch,2,0.125,2.0,8.0
13.16,2.75,Female,No,Thur,Lunch,2,0.20896656534954408,2.75,6.58
17.47,3.5,Female,No,Thur,Lunch,2,0.20034344590726963,3.5,8.735
34.3,6.7,Male,No,Thur,Lunch,6,0.19533527696793004,5.90625,5.716666666666666
41.19,5.0,Male,No,Thur,Lunch,5,0.12138868657441128,5.0,8.238
27.05,5.0,Female,No,Thur,Lunch,6,0.18484288354898337,5.0,4.508333333333334
16.43,2.3,Female,No,Thur,Lunch,2,0.1399878271454656,2.3,8.215
8.35,1.5,Female,No,Thur,Lunch,2,0.17964071856287425,1.5,4.175
18.64,1.36,Female,No,Thur,Lunch,3,0.07296137339055794,1.36,6.213333333333334
11.87,1.63,Female,No,Thur,Lunch,2,0.13732097725358045,1.63,5.935
9.78,1.73,Male,No,Thur,Lunch,2,0.1768916155419223,1.73,4.89
7.51,2.0,Male,No,Thur,Lunch,2,0.2663115845539281,2.0,3.755
14.07,2.5,Male,No,Sun,Dinner,2,0.17768301350390903,2.5,7.035
13.13,2.0,Male,No,Sun,Dinner,2,0.15232292460015232,2.0,6.565
17.26,2.74,Male,No,Sun,Dinner,3,0.15874855156431053,2.74,5.753333333333334
24.55,2.0,Male,No,Sun,Dinner,4,0.0814663951120163,2.0,6.1375
19.77,2.0,Male,No,Sun,Dinner,4,0.10116337885685382,2.0,4.9425
29.85,5.14,Female,No,Sun,Dinner,5,0.1721943048576214,5.14,5.970000000000001
48.17,5.0,Male,No,Sun,Dinner,6,0.10379904504878555,5.0,8.028333333333334
25.0,3.75,Female,No,Sun,Dinner,4,0.15,3.75,6.25
13.39,2.61,Female,No,Sun,Dinner,2,0.19492158327109782,2.61,6.695
16.49,2.0,Male,No,Sun,Dinner,4,0.12128562765312312,2.0,4.1225
21.5,3.5,Male,No,Sun,Dinner,4,0.16279069767441862,3.5,5.375
12.66,2.5,Male,No,Sun,Dinner,2,0.19747235387045814,2.5,6.33
16.21,2.0,Female,No,Sun,Dinner,3,0.12338062924120913,2.0,5.403333333333333
13.81,2.0,Male,No,Sun,Dinner,2,0.1448225923244026,2.0,6.905
17.51,3.0,Female,Yes,Sun,Dinner,2,0.17133066818960593,3.0,8.755
24.52,3.48,Male,No,Sun,Dinner,3,0.14192495921696574,3.48,8.173333333333334
20.76,2.24,Male,No,Sun,Dinner,2,0.10789980732177264,2.24,10.38
31.71,4.5,Male,No,Sun,Dinner,4,0.14191106906338694,4.5,7.9275
10.59,1.61,Female,Yes,Sat,Dinner,2,0.15203021718602455,1.61,5.295
10.63,2.0,Female,Yes,Sat,Dinner,2,0.18814675446848542,2.0,5.315
50.81,10.0,Male,Yes,Sat,Dinner,3,0.19681165124975397,5.90625,16.936666666666667
15.81,3.16,Male,Yes,Sat,Dinner,2,0.19987349778621127,3.16,7.905
7.25,5.15,Male,Yes,Sun,Dinner,2,0.710344827586207,5.15,3.625
31.85,3.18,Male,Yes,Sun,Dinner,2,0.09984301412872841,3.18,15.925
16.82,4.0,Male,Yes,Sun,Dinner,2,0.23781212841854935,4.0,8.41
32.9,3.11,Male,Yes,Sun,Dinner,2,0.0945288753799392,3.11,16.45
17.89,2.0,Male,Yes,Sun,Dinner,2,0.11179429849077696,2.0,8.945
14.48,2.0,Male,Yes,Sun,Dinner,2,0.13812154696132597,2.0,7.24
9.6,4.0,Female,Yes,Sun,Dinner,2,0.4166666666666667,4.0,4.8
34.63,3.55,Male,Yes,Sun,Dinner,2,0.102512272596015,3.55,17.315
34.65,3.68,Male,Yes,Sun,Dinner,4,0.10620490620490622,3.68,8.6625
23.33,5.65,Male,Yes,Sun,Dinner,2,0.2421774539219889,5.65,11.665
45.35,3.5,Male,Yes,Sun,Dinner,3,0.07717750826901874,3.5,15.116666666666667
23.17,6.5,Male,Yes,Sun,Dinner,4,0.2805351747949935,5.90625,5.7925
40.55,3.0,Male,Yes,Sun,Dinner,2,0.07398273736128237,3.0,20.275
20.69,5.0,Male,No,Sun,Dinner,5,0.2416626389560174,5.0,4.138
20.9,3.5,Female,Yes,Sun,Dinner,3,0.1674641148325359,3.5,6.966666666666666
30.46,2.0,Male,Yes,Sun,Dinner,5,0.06565988181221273,2.0,6.0920000000000005
18.15,3.5,Female,Yes,Sun,Dinner,3,0.1928374655647383,3.5,6.05
23.1,4.0,Male,Yes,Sun,Dinner,3,0.17316017316017315,4.0,7.7
15.69,1.5,Male,Yes,Sun,Dinner,2,0.09560229445506692,1.5,7.845
19.81,4.19,Female,Yes,Thur,Lunch,2,0.21150933871781932,4.19,9.905
28.44,2.56,Male,Yes,Thur,Lunch,2,0.090014064697609,2.56,14.22
15.48,2.02,Male,Yes,Thur,Lunch,2,0.13049095607235142,2.02,7.74
16.58,4.0,Male,Yes,Thur,Lunch,2,0.24125452352231608,4.0,8.29
7.56,1.44,Male,No,Thur,Lunch,2,0.19047619047619047,1.44,3.78
10.34,2.0,Male,Yes,Thur,Lunch,2,0.19342359767891684,2.0,5.17
43.11,5.0,Female,Yes,Thur,Lunch,4,0.1159823706796567,5.0,10.7775
13.0,2.0,Female,Yes,Thur,Lunch,2,0.15384615384615385,2.0,6.5
13.51,2.0,Male,Yes,Thur,Lunch,2,0.14803849000740193,2.0,6.755
18.71,4.0,Male,Yes,Thur,Lunch,3,0.2137894174238375,4.0,6.236666666666667
12.74,2.01,Female,Yes,Thur,Lunch,2,0.15777080062794346,2.01,6.37
13.0,2.0,Female,Yes,Thur,Lunch,2,0.15384615384615385,2.0,6.5
16.4,2.5,Female,Yes,Thur,Lunch,2,0.15243902439024393,2.5,8.2
20.53,4.0,Male,Yes,Thur,Lunch,4,0.1948368241597662,4.0,5.1325
16.47,3.23,Female,Yes,Thur,Lunch,3,0.19611414693381907,3.23,5.489999999999999
26.59,3.41,Male,Yes,Sat,Dinner,3,0.1282437006393381,3.41,8.863333333333333
38.73,3.0,Male,Yes,Sat,Dinner,4,0.0774593338497289,3.0,9.6825
24.27,2.03,Male,Yes,Sat,Dinner,2,0.08364235681911825,2.03,12.135
12.76,2.23,Female,Yes,Sat,Dinner,2,0.17476489028213166,2.23,6.38
30.06,2.0,Male,Yes,Sat,Dinner,3,0.06653359946773121,2.0,10.02
25.89,5.16,Male,Yes,Sat,Dinner,4,0.1993047508690614,5.16,6.4725
48.33,9.0,Male,No,Sat,Dinner,4,0.186219739292365,5.90625,12.0825
13.27,2.5,Female,Yes,Sat,Dinner,2,0.18839487565938207,2.5,6.635
28.17,6.5,Female,Yes,Sat,Dinner,3,0.23074192403265883,5.90625,9.39
12.9,1.1,Female,Yes,Sat,Dinner,2,0.08527131782945736,1.1,6.45
28.15,3.0,Male,Yes,Sat,Dinner,5,0.10657193605683837,3.0,5.63
11.59,1.5,Male,Yes,Sat,Dinner,2,0.12942191544434858,1.5,5.795
7.74,1.44,Male,Yes,Sat,Dinner,2,0.18604651162790697,1.44,3.87
30.14,3.09,Female,Yes,Sat,Dinner,4,0.10252156602521566,3.09,7.535
12.16,2.2,Male,Yes,Fri,Lunch,2,0.18092105263157895,2.2,6.08
13.42,3.48,Female,Yes,Fri,Lunch,2,0.2593144560357675,3.48,6.71
8.58,1.92,Male,Yes,Fri,Lunch,1,0.22377622377622378,1.92,8.58
15.98,3.0,Female,No,Fri,Lunch,3,0.18773466833541927,3.0,5.326666666666667
13.42,1.58,Male,Yes,Fri,Lunch,2,0.11773472429210134,1.58,6.71
16.27,2.5,Female,Yes,Fri,Lunch,2,0.15365703749231716,2.5,8.135
10.09,2.0,Female,Yes,Fri,Lunch,2,0.19821605550049554,2.0,5.045
20.45,3.0,Male,No,Sat,Dinner,4,0.1466992665036675,3.0,5.1125
13.28,2.72,Male,No,Sat,Dinner,2,0.20481927710843376,2.72,6.64
22.12,2.88,Female,Yes,Sat,Dinner,2,0.13019891500904157,2.88,11.06
24.01,2.0,Male,Yes,Sat,Dinner,4,0.08329862557267805,2.0,6.0025
15.69,3.0,Male,Yes,Sat,Dinner,3,0.19120458891013384,3.0,5.2299999999999995
11.61,3.39,Male,No,Sat,Dinner,2,0.29198966408268734,3.39,5.805
10.77,1.47,Male,No,Sat,Dinner,2,0.13649025069637882,1.47,5.385
15.53,3.0,Male,Yes,Sat,Dinner,2,0.19317450096587252,3.0,7.765
10.07,1.25,Male,No,Sat,Dinner,2,0.12413108242303872,1.25,5.035
12.6,1.0,Male,Yes,Sat,Dinner,2,0.07936507936507936,1.0,6.3
32.83,1.17,Male,Yes,Sat,Dinner,2,0.03563813585135547,1.17,16.415
35.83,4.67,Female,No,Sat,Dinner,3,0.13033770583310075,4.67,11.943333333333333
29.03,5.92,Male,No,Sat,Dinner,3,0.2039269720978298,5.90625,9.676666666666668
27.18,2.0,Female,Yes,Sat,Dinner,2,0.07358351729212656,2.0,13.59
22.67,2.0,Male,Yes,Sat,Dinner,2,0.08822232024702249,2.0,11.335
17.82,1.75,Male,No,Sat,Dinner,2,0.09820426487093153,1.75,8.91
18.78,3.0,Female,No,Thur,Dinner,2,0.1597444089456869,3.0,9.39
